bv_id,tyc2_id,x,y,dist,label,uid,date,n_view,link
BV1LusMeTE5p,TYC 2761-883-1,0.76609147,-0.22313851,1.0,15,177783703.0,2024-08-28,1974.0,//player.bilibili.com/player.html?isOutside=true&aid=113038338426973&bvid=BV1LusMeTE5p&cid=25617174436&p=1
BV1nFsMeVE7o,TYC 6914-1943-1,0.49567175,-0.74009454,1.0,48,223928340.0,2024-08-28,1339.0,//player.bilibili.com/player.html?isOutside=true&aid=113038371979954&bvid=BV1nFsMeVE7o&cid=25617632585&p=1
BV1dnsAepEFP,TYC 2694-2168-1,0.5080068,-0.6393751,1.0,81,629874452.0,2024-08-28,371.0,//player.bilibili.com/player.html?isOutside=true&aid=113036929007991&bvid=BV1dnsAepEFP&cid=25612256140&p=1
BV1Vm421j7Ev,TYC 2163-1794-1,0.49374914,-0.7338158,1.0,90,82632219.0,2024-04-13,2567.0,//player.bilibili.com/player.html?isOutside=true&aid=1603139025&bvid=BV1Vm421j7Ev&cid=1503449939&p=1
BV1nZ421B7X8,TYC 2676-1688-1,0.49691832,-0.6850223,1.0,62,329347512.0,2024-04-01,1436.0,//player.bilibili.com/player.html?isOutside=true&aid=1152592056&bvid=BV1nZ421B7X8&cid=1489321190&p=1
BV1Um411k758,TYC 2162-1675-1,0.4874407,-0.75073314,1.0,9,382935678.0,2024-03-26,288.0,//player.bilibili.com/player.html?isOutside=true&aid=1902306294&bvid=BV1Um411k758&cid=1482459689&p=1
BV18x4y117bo,TYC 3605-1371-1,0.6190034,-0.3354184,1.0,63,3546571348118498.0,2024-02-09,3003.0,//player.bilibili.com/player.html?isOutside=true&aid=1000407208&bvid=BV18x4y117bo&cid=1435572177&p=1
BV1pB421z7LG,TYC 1058-3400-1,0.47278762,-0.8688145,1.0,92,16546166.0,2024-02-09,1960.0,//player.bilibili.com/player.html?isOutside=true&aid=1350423729&bvid=BV1pB421z7LG&cid=1435695577&p=1
BV1h4421c7WD,TYC 2162-1674-1,0.48533857,-0.7490153,1.0,12,632929026.0,2024-02-09,14749.0,//player.bilibili.com/player.html?isOutside=true&aid=1750343900&bvid=BV1h4421c7WD&cid=1435314265&p=1
BV1wu4m1K78N,TYC 5725-2836-1,0.47223437,-0.8687842,1.0,93,36112611.0,2024-02-09,3003.0,//player.bilibili.com/player.html?isOutside=true&aid=1300355908&bvid=BV1wu4m1K78N&cid=1434779301&p=1
BV1YA4m157LD,TYC 7963-1586-1,0.5142604,-0.57970953,1.0,27,400604752.0,2024-02-09,144.0,//player.bilibili.com/player.html?isOutside=true&aid=1100393836&bvid=BV1YA4m157LD&cid=1435745754&p=1
BV1XJ4m1s7k8,TYC 7463-1971-1,0.49146557,-0.64779544,1.0,38,1071135356.0,2024-02-09,425.0,//player.bilibili.com/player.html?isOutside=true&aid=1250442008&bvid=BV1XJ4m1s7k8&cid=1435620098&p=1
BV1r642137Fv,TYC 2154-4100-1,0.4816681,-0.7794434,1.0,83,30927082.0,2024-02-09,190.0,//player.bilibili.com/player.html?isOutside=true&aid=1400321361&bvid=BV1r642137Fv&cid=1435353506&p=1
BV1HZ421z76W,TYC 3591-3421-1,0.56242454,-0.41632164,1.0,38,1338375556.0,2024-02-09,2297.0,//player.bilibili.com/player.html?isOutside=true&aid=1150166058&bvid=BV1HZ421z76W&cid=1428482474&p=1
BV1RB421B7Ya,TYC 6313-2321-1,0.47423983,-0.83891034,1.0,61,287974636.0,2024-02-09,1078.0,//player.bilibili.com/player.html?isOutside=true&aid=1350333776&bvid=BV1RB421B7Ya&cid=1435257020&p=1
BV1yB421z73X,TYC 3175-186-1,0.52248263,-0.52942276,1.0,74,185936928.0,2024-02-09,116.0,//player.bilibili.com/player.html?isOutside=true&aid=1350494022&bvid=BV1yB421z73X&cid=1434946677&p=1
BV1vF4m1T7jZ,TYC 2697-1635-1,0.4876995,-0.63957965,1.0,34,8531415.0,2024-02-09,140.0,//player.bilibili.com/player.html?isOutside=true&aid=1200378147&bvid=BV1vF4m1T7jZ&cid=1435116139&p=1
BV1ZJ4m147hu,TYC 3180-2696-1,0.5200262,-0.49824083,1.0,19,46207951.0,2024-02-09,150120.0,//player.bilibili.com/player.html?isOutside=true&aid=1250355182&bvid=BV1ZJ4m147hu&cid=1434884483&p=1
BV14g4y127Ry,TYC 2167-1352-1,0.48482,-0.73102725,1.0,18,269391445.0,2024-01-25,1139.0,//player.bilibili.com/player.html?isOutside=true&aid=836652038&bvid=BV14g4y127Ry&cid=1418152379&p=1
BV17K411Y7f8,TYC 1161-1795-1,0.9668418,-0.20664549,1.0,67,13431502.0,2024-01-25,368.0,//player.bilibili.com/player.html?isOutside=true&aid=496702480&bvid=BV17K411Y7f8&cid=1418687754&p=1
BV1dT4y1b7uD,TYC 7511-1199-1,0.7849417,-0.21552974,1.0,15,10698287.0,2024-01-25,559.0,//player.bilibili.com/player.html?isOutside=true&aid=924225496&bvid=BV1dT4y1b7uD&cid=1418910622&p=1
BV1ub4y1N7XH,TYC 3179-564-1,0.5007907,-0.50831616,1.0,72,320519460.0,2024-01-20,2037.0,//player.bilibili.com/player.html?isOutside=true&aid=624064788&bvid=BV1ub4y1N7XH&cid=1415030506&p=1
BV1u64y1P7eZ,TYC 1715-2283-1,0.93147254,-0.20345479,1.0,5,353784518.0,2024-01-24,632.0,//player.bilibili.com/player.html?isOutside=true&aid=581626813&bvid=BV1u64y1P7eZ&cid=1417210711&p=1
BV12e411S7R2,TYC 3590-3349-1,0.54463124,-0.42008555,1.0,15,5347090.0,2024-01-01,403.0,//player.bilibili.com/player.html?isOutside=true&aid=238217160&bvid=BV12e411S7R2&cid=1390625429&p=1
BV1sC4y1L7KH,TYC 3174-1146-1,0.48452532,-0.5677742,1.0,2,1970176153.0,2023-10-01,23294.0,//player.bilibili.com/player.html?isOutside=true&aid=746742258&bvid=BV1sC4y1L7KH&cid=1285195621&p=1
BV1KN411p7Qs,TYC 2162-1673-1,0.48086894,-0.7510011,1.0,54,448813977.0,2023-09-07,3537.0,//player.bilibili.com/player.html?isOutside=true&aid=490739935&bvid=BV1KN411p7Qs&cid=1259470172&p=1
BV1Gw411a7vt,TYC 3152-2083-1,0.47008717,-0.62647104,1.0,16,30976371.0,2023-10-03,1690.0,//player.bilibili.com/player.html?isOutside=true&aid=321728428&bvid=BV1Gw411a7vt&cid=1287830060&p=1
BV14u411778B,TYC 2684-2040-1,0.4656192,-0.6426256,1.0,99,183288189.0,2023-08-22,312.0,//player.bilibili.com/player.html?isOutside=true&aid=532507468&bvid=BV14u411778B&cid=1241753787&p=1
BV1tX4y1e7gy,TYC 8004-1299-1,0.7406548,-0.22985655,1.0,2,11116918.0,2023-07-09,10581.0,//player.bilibili.com/player.html?isOutside=true&aid=358239528&bvid=BV1tX4y1e7gy&cid=1202661478&p=1
BV19P411Q7cH,TYC 7509-1264-1,0.7969221,-0.20055336,1.0,69,11116918.0,2023-05-26,4469.0,//player.bilibili.com/player.html?isOutside=true&aid=314120308&bvid=BV19P411Q7cH&cid=1141214452&p=1
BV1eP411d7oE,TYC 2680-1628-1,0.46586823,-0.6739645,1.0,21,11116918.0,2023-03-19,13136.0,//player.bilibili.com/player.html?isOutside=true&aid=311165703&bvid=BV1eP411d7oE&cid=1061832956&p=1
BV1UH4y1D7Yx,TYC 3590-3348-1,0.5352534,-0.42844373,1.0,5,440348680.0,2023-09-12,7959.0,//player.bilibili.com/player.html?isOutside=true&aid=960898198&bvid=BV1UH4y1D7Yx&cid=1264961700&p=1
BV14z4y1T7vY,TYC 1063-519-1,0.35424757,-0.911967,0.9273461,49,356160341.0,2023-09-07,514.0,//player.bilibili.com/player.html?isOutside=true&aid=575636623&bvid=BV14z4y1T7vY&cid=1259842501&p=1
BV1ZG411o7Qt,TYC 1616-1861-1,0.47043562,-0.83382547,1.0,12,351601190.0,2023-08-22,940.0,//player.bilibili.com/player.html?isOutside=true&aid=405115772&bvid=BV1ZG411o7Qt&cid=1242398762&p=1
BV1UP411Y7BH,TYC 3606-2457-1,0.627679,-0.31360137,1.0,63,66711381.0,2023-08-31,1471.0,//player.bilibili.com/player.html?isOutside=true&aid=317966472&bvid=BV1UP411Y7BH&cid=1252618062&p=1
BV1mu4y1C7af,TYC 3179-1354-1,0.4901073,-0.5200373,1.0,67,320519460.0,2023-09-01,702.0,//player.bilibili.com/player.html?isOutside=true&aid=915483628&bvid=BV1mu4y1C7af&cid=1345498635&p=1
BV1ij411277c,TYC 8007-205-1,0.70860875,-0.24573594,1.0,15,110926375.0,2023-08-29,1239.0,//player.bilibili.com/player.html?isOutside=true&aid=447872532&bvid=BV1ij411277c&cid=1251022063&p=1
BV18r4y1X74U,TYC 3218-2413-1,0.71919394,-0.25653428,0.36427855,32,11116918.0,2023-08-29,6366.0,//player.bilibili.com/player.html?isOutside=true&aid=745277988&bvid=BV18r4y1X74U&cid=1250920596&p=1
BV17j41127mb,TYC 9077-2487-1,0.08326912,-0.4163776,0.42684162,92,356160341.0,2023-08-29,2809.0,//player.bilibili.com/player.html?isOutside=true&aid=447774767&bvid=BV17j41127mb&cid=1250780936&p=1
BV1hN4y1R7hC,TYC 1624-3414-1,0.46678913,-0.8190062,1.0,13,3493084138572675.0,2023-08-27,101314.0,//player.bilibili.com/player.html?isOutside=true&aid=872869117&bvid=BV1hN4y1R7hC&cid=1248617250&p=1
BV1Bp4y1P7Rx,TYC 2676-1686-1,0.46312582,-0.690768,1.0,48,327601393.0,2023-08-28,1700.0,//player.bilibili.com/player.html?isOutside=true&aid=960287092&bvid=BV1Bp4y1P7Rx&cid=1249857184&p=1
BV1iu41177bh,TYC 1616-837-1,0.46447682,-0.8380439,1.0,92,1476027.0,2023-08-26,3679.0,//player.bilibili.com/player.html?isOutside=true&aid=532533569&bvid=BV1iu41177bh&cid=1241930987&p=1
BV1Dw411Q7Dp,TYC 6892-1997-1,0.465886,-0.79596514,1.0,3,3546376552057488.0,2023-08-26,253.0,//player.bilibili.com/player.html?isOutside=true&aid=320312031&bvid=BV1Dw411Q7Dp&cid=1247819666&p=1
BV1iu4y1e7dB,TYC 3179-457-1,0.4930296,-0.50811964,1.0,56,8151904.0,2023-08-26,441.0,//player.bilibili.com/player.html?isOutside=true&aid=915299518&bvid=BV1iu4y1e7dB&cid=1248000323&p=1
BV12F411C7oC,TYC 5249-1400-1,0.97499084,-0.19691306,1.0,67,356160341.0,2023-08-24,461.0,//player.bilibili.com/player.html?isOutside=true&aid=275133279&bvid=BV12F411C7oC&cid=1245839728&p=1
BV1Lm4y1T7gn,TYC 2145-1662-1,0.45973694,-0.78274363,1.0,12,263070436.0,2023-08-27,2658.0,//player.bilibili.com/player.html?isOutside=true&aid=702862871&bvid=BV1Lm4y1T7gn&cid=1248209244&p=1
BV1im4y1u776,TYC 1062-2701-1,0.45791256,-0.8704267,1.0,1,8151904.0,2023-08-26,401.0,//player.bilibili.com/player.html?isOutside=true&aid=702798670&bvid=BV1im4y1u776&cid=1315153208&p=1
BV1dz4y1T71p,TYC 5729-2871-1,0.45646238,-0.869929,1.0,40,3493081292737020.0,2023-08-26,56813.0,//player.bilibili.com/player.html?isOutside=true&aid=575239845&bvid=BV1dz4y1T71p&cid=1247466500&p=1
BV1K8411X7BL,TYC 3179-1248-1,0.48557687,-0.52970344,1.0,35,353219424.0,2023-08-26,21226.0,//player.bilibili.com/player.html?isOutside=true&aid=232697290&bvid=BV1K8411X7BL&cid=1246550549&p=1
BV1N24y1B7ZG,TYC 8745-250-1,0.07033777,-0.5961485,0.22704339,63,43977445.0,2023-02-02,14323.0,//player.bilibili.com/player.html?isOutside=true&aid=693668275&bvid=BV1N24y1B7ZG&cid=990095397&p=1
BV1yr4y1R77u,TYC 3607-2600-1,0.6247302,-0.2879548,1.0,8,17480437.0,2023-08-24,1286.0,//player.bilibili.com/player.html?isOutside=true&aid=745192908&bvid=BV1yr4y1R77u&cid=1245405588&p=1
BV1pu4y1i7kF,TYC 7975-1347-1,0.48244715,-0.5337117,1.0,55,8860828.0,2023-08-20,654.0,//player.bilibili.com/player.html?isOutside=true&aid=915085841&bvid=BV1pu4y1i7kF&cid=1241309639&p=1
BV1q14y117pH,TYC 5246-1263-1,0.97968876,-0.19231224,1.0,46,266516216.0,2023-08-22,552.0,//player.bilibili.com/player.html?isOutside=true&aid=787624954&bvid=BV1q14y117pH&cid=1243376294&p=1
BV1HG411f7VK,TYC 5729-2872-1,0.44966602,-0.8730657,1.0,3,3494358737225862.0,2023-08-23,4337.0,//player.bilibili.com/player.html?isOutside=true&aid=404861775&bvid=BV1HG411f7VK&cid=1243095985&p=1
BV1HG411Z7KR,TYC 2141-2712-1,0.45691538,-0.7982969,1.0,11,320519460.0,2023-08-24,1023.0,//player.bilibili.com/player.html?isOutside=true&aid=405227742&bvid=BV1HG411Z7KR&cid=1245326450&p=1
BV1814y117YE,TYC 1057-2440-1,0.44083202,-0.88776493,1.0,99,4640628.0,2023-08-24,996.0,//player.bilibili.com/player.html?isOutside=true&aid=787638717&bvid=BV1814y117YE&cid=1245273140&p=1
BV1dp4y177qj,TYC 6900-2236-1,0.45138848,-0.76158476,1.0,41,677882435.0,2023-08-23,273.0,//player.bilibili.com/player.html?isOutside=true&aid=957637091&bvid=BV1dp4y177qj&cid=1244515072&p=1
BV1TN411z7ag,TYC 3575-6350-1,0.48354495,-0.5127957,1.0,24,18705667.0,2023-08-23,600.0,//player.bilibili.com/player.html?isOutside=true&aid=490189719&bvid=BV1TN411z7ag&cid=1244452725&p=1
BV16m4y1H7fL,TYC 2216-1897-1,0.7682239,-0.4189353,0.44096875,15,28795472.0,2023-08-22,1888.0,//player.bilibili.com/player.html?isOutside=true&aid=702530086&bvid=BV16m4y1H7fL&cid=1243643290&p=1
BV13w41197kL,TYC 3178-1205-1,0.4665897,-0.55598783,1.0,3,356113685.0,2023-08-22,1867.0,//player.bilibili.com/player.html?isOutside=true&aid=320049662&bvid=BV13w41197kL&cid=1242743401&p=1
